pair,contact_times
device2<->device96,1
device0<->device80,1
device8<->device80,1
device37<->device76,1
device36<->device75,1
device69<->device82,1
device25<->device90,1
device63<->device89,1
device36<->device9,1
device49<->device79,1
device29<->device96,1
device65<->device75,1
device31<->device90,1
device19<->device47,1
device32<->device74,1
device20<->device24,1
device20<->device22,1
device45<->device54,1
device16<->device81,1
device15<->device85,1
device13<->device5,1
device69<->device71,1
device23<->device71,1
device45<->device89,1
device53<->device62,1
device14<->device81,1
device48<->device80,1
device22<->device44,1
device50<->device61,1
device19<->device40,1
device6<->device60,1
device51<->device55,1
device46<->device55,1
device32<->device75,1
device39<->device75,1
device40<->device81,1
device48<->device67,1
device4<->device65,1
device4<->device48,1
device26<->device76,1
device18<->device68,1
device0<->device3,1
device10<->device86,1
device35<->device86,1
device15<->device29,1
device11<->device15,1
device21<->device89,1
device39<->device89,1
device29<->device66,1
device77<->device99,1
device86<->device88,1
device17<->device4,1
device42<->device57,1
device38<->device43,1
device33<->device74,1
device52<->device79,1
device2<->device88,1
device63<->device88,1
device28<->device53,1
device59<->device89,1
device1<->device92,1
device48<->device92,1
device34<->device89,1
device68<->device81,1
device37<->device70,1
device16<->device35,1
device33<->device58,1
device67<->device84,1
device48<->device56,1
device50<->device96,1
device21<->device9,1
device37<->device47,1
device12<->device26,1
device36<->device7,1
device35<->device83,1
device12<->device67,1
device61<->device67,1
device13<->device92,1
device3<->device91,1
device30<->device66,1
device89<->device99,1
device60<->device89,1
device16<->device80,1
device31<->device80,1
device31<->device92,1
device54<->device85,1
device22<->device80,1
device27<->device66,1
device66<->device87,1
device66<->device73,1
device33<->device63,1
device33<->device81,1
device39<->device77,1
device20<->device84,1
device29<->device43,1
device25<->device50,1
device32<->device82,1
device25<->device96,1
device37<->device91,1
device31<->device51,1
device54<->device93,1
device20<->device34,1
device8<->device9,1
device45<->device9,1
device28<->device63,1
device2<->device93,1
device61<->device71,1
device88<->device99,1
device19<->device25,1
device19<->device57,1
device65<->device69,1
device23<->device69,1
device42<->device9,1
device20<->device88,1
device13<->device87,1
device7<->device92,1
device23<->device68,1
device24<->device51,1
device21<->device51,1
device44<->device9,1
device31<->device60,1
device44<->device89,1
device31<->device41,1
device12<->device25,1
device49<->device57,1
device49<->device6,1
device91<->device94,1
device0<->device35,1
device56<->device92,1
device56<->device87,1
device56<->device85,1
device30<->device56,1
device36<->device61,1
device36<->device83,1
device13<->device60,1
device18<->device66,1
device17<->device60,1
device64<->device82,1
device39<->device42,1
device40<->device70,1
device40<->device54,1
device41<->device96,1
device34<->device70,1
device10<->device63,1
device14<->device64,1
device40<->device78,1
device39<->device44,1
device47<->device9,1
device5<->device88,1
device41<->device5,1
device31<->device61,1
device70<->device90,1
device38<->device59,1
device27<->device59,1
device52<->device99,1
device52<->device8,1
device52<->device81,1
device31<->device56,1
device56<->device82,1
device57<->device7,1
device20<->device7,1
device22<->device24,1
device85<->device91,1
device32<->device66,1
device8<->device89,1
device32<->device40,1
device33<->device80,1
device75<->device78,1
device16<->device49,1
device21<->device29,1
device21<->device66,1
device34<->device65,1
device2<->device65,1
device41<->device71,1
device26<->device51,1
device26<->device72,1
device30<->device49,1
device50<->device72,1
device39<->device65,1
device25<->device32,1
device81<->device83,1
device19<->device48,1
device30<->device93,1
device37<->device87,1
device48<->device90,1
device10<->device41,1
device34<->device45,1
device34<->device57,1
device39<->device57,1
device23<->device99,1
device37<->device63,1
device0<->device16,1
device47<->device94,1
device57<->device94,1
device43<->device58,1
device27<->device58,1
device75<->device90,1
device17<->device96,1
device53<->device83,1
device53<->device85,1
device21<->device44,1
device10<->device21,1
device40<->device93,1
device7<->device80,1
device68<->device73,1
device67<->device68,1
device68<->device92,1
device16<->device4,1
device4<->device78,1
device85<->device98,1
device21<->device74,1
device12<->device87,1
device12<->device39,1
device19<->device54,1
device11<->device70,1
device11<->device28,1
device45<->device60,1
device33<->device39,1
device37<->device92,1
device32<->device33,1
device87<->device98,1
device73<->device98,1
device4<->device5,1
device29<->device92,1
device34<->device67,1
device12<->device88,1
device88<->device98,1
device20<->device32,1
device32<->device77,1
device45<->device64,1
device24<->device40,1
device18<->device90,1
device33<->device93,1
device46<->device95,1
device16<->device79,1
device13<->device64,1
device13<->device56,1
device19<->device91,1
device1<->device70,1
device1<->device88,1
device25<->device48,1
device14<->device78,1
device13<->device53,1
device14<->device53,1
device68<->device94,1
device54<->device86,1
device7<->device77,1
device85<->device97,1
device74<->device81,1
device43<->device83,1
device52<->device54,1
device2<->device57,1
device2<->device83,1
device67<->device78,1
device78<->device8,1
device22<->device57,1
device56<->device91,1
device56<->device98,1
device30<->device72,1
device57<->device64,1
device64<->device97,1
device11<->device99,1
device22<->device34,1
device35<->device65,1
device30<->device76,1
device73<->device76,1
device31<->device99,1
device15<->device51,1
device63<->device93,1
device48<->device96,1
device29<->device6,1
device17<->device30,1
device30<->device96,1
device61<->device63,1
device43<->device61,1
device76<->device83,1
device23<->device30,1
device23<->device74,1
device39<->device72,1
device53<->device96,1
device32<->device44,1
device50<->device54,1
device40<->device85,1
device38<->device49,1
device30<->device9,1
device31<->device54,1
device68<->device89,1
device51<->device68,1
device35<->device37,1
device36<->device96,1
device20<->device41,1
device62<->device8,1
device8<->device92,1
device29<->device8,1
device55<->device74,1
device38<->device79,1
device82<->device87,1
device10<->device99,1
device10<->device46,1
device46<->device76,1
device40<->device58,1
device62<->device9,1
device62<->device97,1
device39<->device62,1
device42<->device74,1
device36<->device66,1
device21<->device57,1
device30<->device45,1
device50<->device66,1
device12<->device24,1
device49<->device80,1
device25<->device44,1
device58<->device89,1
device66<->device89,1
device73<->device84,1
device25<->device41,1
device34<->device46,1
device25<->device39,1
device19<->device26,1
device42<->device90,1
device16<->device85,1
device1<->device71,1
device28<->device86,1
device28<->device98,1
device28<->device93,1
device13<->device31,1
device22<->device86,1
device50<->device95,1
device57<->device58,1
device40<->device63,1
device11<->device94,1
device0<->device94,1
device43<->device88,1
device82<->device85,1
device75<->device87,1
device59<->device9,1
device28<->device70,1
device1<->device14,1
device1<->device59,1
device48<->device55,1
device72<->device84,1
device33<->device92,1
device56<->device66,1
device79<->device96,1
device45<->device58,1
device2<->device38,1
device73<->device87,1
device12<->device58,1
device29<->device94,1
device72<->device97,1
device41<->device97,1
device75<->device94,1
device1<->device85,1
device68<->device86,1
device18<->device98,1
device2<->device9,1
device33<->device73,1
device46<->device85,1
device81<->device97,1
device35<->device81,1
device50<->device84,1
device50<->device59,1
device26<->device35,1
device13<->device20,1
device13<->device49,1
device19<->device88,1
device35<->device9,1
device14<->device82,1
device14<->device57,1
device18<->device60,1
device57<->device77,1
device37<->device61,1
device11<->device20,1
device66<->device77,1
device9<->device97,1
device76<->device9,1
device19<->device95,1
device41<->device47,1
device3<->device52,1
device47<->device52,1
device4<->device87,1
device64<->device65,1
device48<->device73,1
device28<->device78,1
device27<->device55,1
device3<->device31,1
device44<->device62,1
device1<->device50,1
device10<->device49,1
device10<->device2,1
device47<->device89,1
device23<->device47,1
device72<->device98,1
device28<->device57,1
device52<->device70,1
device23<->device29,1
device93<->device97,1
device15<->device48,1
device17<->device84,1
device55<->device66,1
device22<->device3,1
device22<->device6,1
device22<->device33,1
device4<->device62,1
device4<->device56,1
device30<->device92,1
device0<->device71,1
device78<->device83,1
device55<->device98,1
device36<->device48,1
device5<->device57,1
device27<->device44,1
device12<->device76,1
device65<->device68,1
device16<->device47,1
device16<->device5,1
device41<->device89,1
device14<->device66,1
device14<->device4,1
device65<->device85,1
device55<->device65,1
device84<->device99,1
device11<->device68,1
device4<->device94,1
device1<->device94,1
device71<->device94,1
device2<->device68,1
device15<->device36,1
device0<->device66,1
device62<->device93,1
device27<->device97,1
device59<->device97,1
device10<->device68,1
device28<->device80,1
device83<->device87,1
device33<->device43,1
device67<->device88,1
device90<->device92,1
device25<->device55,1
device74<->device99,1
device61<->device68,1
device70<->device98,1
device23<->device80,1
device21<->device88,1
device16<->device78,1
device40<->device90,1
device21<->device33,1
device66<->device71,1
device37<->device97,1
device61<->device65,1
device62<->device65,1
device22<->device84,1
device11<->device50,1
device34<->device35,1
device55<->device90,1
device14<->device58,1
device38<->device73,1
device43<->device93,1
device63<->device64,1
device71<->device83,1
device17<->device62,1
device13<->device68,1
device43<->device96,1
device13<->device65,1
device76<->device95,1
device32<->device68,1
device67<->device72,1
device55<->device76,1
device26<->device73,1
device36<->device73,1
device80<->device99,1
device15<->device99,1
device28<->device99,1
device13<->device15,1
device11<->device67,1
device88<->device93,1
device46<->device92,1
device23<->device46,1
device24<->device86,1
device63<->device90,1
device62<->device77,1
device73<->device99,1
device77<->device93,1
device1<->device30,1
device1<->device68,1
device48<->device85,1
device85<->device86,1
device2<->device49,1
device47<->device67,1
device20<->device47,1
device17<->device98,1
device17<->device59,1
device13<->device25,1
device20<->device26,1
device19<->device35,1
device60<->device64,1
device17<->device33,1
device64<->device84,1
device38<->device84,1
device49<->device84,1
device21<->device67,1
device32<->device67,1
device15<->device42,1
device17<->device90,1
device35<->device49,1
device45<->device88,1
device16<->device20,1
device48<->device7,1
device42<->device46,1
device13<->device29,1
device42<->device75,1
device64<->device91,1
device16<->device91,1
device4<->device54,1
device26<->device78,1
device79<->device90,1
device23<->device6,1
device59<->device72,1
device58<->device91,1
device16<->device58,1
device13<->device96,1
device7<->device93,1
device87<->device97,1
device40<->device62,1
device65<->device77,1
device15<->device9,1
device29<->device91,1
device33<->device7,1
device26<->device57,1
device10<->device67,1
device34<->device85,1
device4<->device69,1
device4<->device96,1
device23<->device4,1
device42<->device51,1
device16<->device51,1
device2<->device76,1
device26<->device47,1
device38<->device78,1
device0<->device33,1
device70<->device71,1
device63<->device85,1
device25<->device9,1
device21<->device26,1
device29<->device30,1
device11<->device80,1
device32<->device47,1
device12<->device74,1
device43<->device63,1
device77<->device90,1
device50<->device98,1
device76<->device94,1
device32<->device61,1
device17<->device66,1
device21<->device32,1
device5<->device91,1
device25<->device5,1
device5<->device7,1
device17<->device35,1
device16<->device39,1
device15<->device33,1
device29<->device80,1
device81<->device85,1
device43<->device69,1
device19<->device6,1
device69<->device78,1
device2<->device8,1
device50<->device85,1
device62<->device69,1
device12<->device62,1
device1<->device29,1
