pair,contact_times
device17<->device23,3
device0<->device1,3
device5<->device23,3
device7<->device11,3
device4<->device18,3
device23<->device10,3
device22<->device7,3
device24<->device23,3
device17<->device8,3
device8<->device24,3
device9<->device24,3
device6<->device16,3
device21<->device9,3
device14<->device1,3
device11<->device3,3
device16<->device6,3
device23<->device17,3
device21<->device5,3
device11<->device22,3
device18<->device13,3
device17<->device22,3
device7<->device5,3
device9<->device20,3
device11<->device9,3
device22<->device1,3
device18<->device14,3
device6<->device24,3
device1<->device9,3
device10<->device15,3
device8<->device17,3
device19<->device23,3
device10<->device2,3
device4<->device24,3
device10<->device13,3
device16<->device14,3
device16<->device5,3
device12<->device3,3
device3<->device21,3
device6<->device23,3
device24<->device5,3
device5<->device21,3
device2<->device16,3
device5<->device4,3
device14<->device4,3
device6<->device19,3
device7<->device16,3
device4<->device20,3
device0<->device20,3
device11<->device5,3
device14<->device6,3
device7<->device18,3
device8<->device5,3
device7<->device12,3
device7<->device10,3
device3<->device4,3
device22<->device24,3
device5<->device1,3
device22<->device13,3
device21<->device11,3
device11<->device6,3
device2<->device1,3
device23<->device15,3
device22<->device21,3
device9<->device2,3
device0<->device6,3
device10<->device3,3
device19<->device3,3
device4<->device11,3
device20<->device5,3
device0<->device11,2
device12<->device2,2
device15<->device9,2
device12<->device5,2
device9<->device7,2
device15<->device17,2
device14<->device16,2
device15<->device12,2
device14<->device20,2
device1<->device8,2
device3<->device16,2
device2<->device7,2
device14<->device15,2
device15<->device14,2
device14<->device22,2
device2<->device18,2
device17<->device19,2
device7<->device6,2
device0<->device19,2
device3<->device11,2
device17<->device4,2
device1<->device0,2
device23<->device3,2
device19<->device13,2
device3<->device14,2
device18<->device8,2
device12<->device22,2
device15<->device21,2
device12<->device0,2
device17<->device0,2
device17<->device14,2
device23<->device18,2
device7<->device8,2
device13<->device24,2
device24<->device18,2
device24<->device19,2
device12<->device16,2
device10<->device0,2
device9<->device0,2
device11<->device23,2
device10<->device20,2
device23<->device19,2
device0<->device3,2
device3<->device13,2
device18<->device6,2
device21<->device15,2
device0<->device7,2
device5<->device22,2
device1<->device16,2
device2<->device22,2
device14<->device3,2
device0<->device15,2
device24<->device2,2
device7<->device17,2
device12<->device8,2
device22<->device18,2
device23<->device5,2
device16<->device23,2
device4<->device5,2
device18<->device5,2
device8<->device12,2
device4<->device2,2
device7<->device22,2
device23<->device2,2
device10<->device19,2
device13<->device8,2
device20<->device2,2
device4<->device0,2
device19<->device9,2
device14<->device23,2
device22<->device11,2
device4<->device12,2
device9<->device8,2
device11<->device2,2
device13<->device0,2
device21<->device7,2
device13<->device19,2
device2<->device23,2
device5<->device3,2
device19<->device5,2
device16<->device8,2
device6<->device10,2
device3<->device24,2
device7<->device3,2
device12<->device4,2
device11<->device16,2
device0<->device2,2
device1<->device13,2
device20<->device14,2
device11<->device19,2
device1<->device22,2
device2<->device11,2
device20<->device21,2
device21<->device17,2
device21<->device0,2
device21<->device13,2
device1<->device15,2
device18<->device19,2
device18<->device20,2
device12<->device24,2
device21<->device23,1
device23<->device20,1
device15<->device0,1
device13<->device18,1
device14<->device24,1
device1<->device17,1
device23<->device1,1
device11<->device21,1
device14<->device11,1
device0<->device14,1
device4<->device8,1
device6<->device0,1
device2<->device10,1
device16<->device10,1
device9<->device16,1
device2<->device5,1
device20<->device1,1
device22<->device9,1
device20<->device23,1
device24<->device9,1
device5<->device16,1
device20<->device19,1
device8<->device9,1
device5<->device24,1
device22<->device8,1
device16<->device13,1
device21<->device8,1
device23<->device24,1
device17<->device1,1
device24<->device16,1
device20<->device12,1
device9<->device6,1
device11<->device13,1
device2<->device6,1
device19<->device20,1
device9<->device11,1
device5<->device2,1
device15<->device16,1
device9<->device21,1
device4<->device7,1
device23<->device14,1
device18<->device7,1
device7<->device1,1
device17<->device18,1
device6<->device13,1
device23<->device22,1
device10<->device21,1
device4<->device13,1
device3<->device20,1
device8<->device21,1
device15<->device3,1
device21<->device2,1
device3<->device2,1
device15<->device20,1
device19<->device10,1
device24<->device0,1
device2<->device14,1
device12<->device21,1
device22<->device17,1
device16<->device2,1
device23<->device13,1
device6<->device20,1
